SMILES,rate of thermal isomerisation from Z-E in s-1,Solvent used for thermal isomerisation rates,Z PhotoStationaryState,E PhotoStationaryState,E isomer pi-pi* wavelength in nm,Extinction,E isomer n-pi* wavelength in nm,Extinction coefficient in M-1 cm-1,Z isomer pi-pi* wavelength in nm,Extinction.1,Z isomer n-pi* wavelength in nm,Extinction coefficient in M-1 cm-1.1,Wiberg index,E-Z irradiation wavelength in nm,Z-E irradiation wavelength,Irradiation solvent,PBE0 DFT E isomer pi-pi* wavelength in nm,PBE0 DFT E isomer n-pi* wavelength in nm,PBE0 DFT Z isomer pi-pi* wavelength in nm,PBE0 DFT Z isomer n-pi* wavelength in nm,TPSSh/6-31G** DFT E isomer pi-pi* wavelength in nm,TPSSh/6-31G** DFT E isomer n-pi* wavelength in nm,TPSSh/6-31G** DFT Z isomer pi-pi* wavelength in nm,TPSSh/6-31G** DFT Z isomer n-pi* wavelength in nm,CAM-B3LYP/6-31G** DFT E isomer pi-pi* wavelength in nm,CAM-B3LYP/6-31G** DFT E isomer n-pi* wavelength in nm,CAM-B3LYP/6-31G** DFT Z isomer pi-pi* wavelength in nm,CAM-B3LYP/6-31G** DFT Z isomer n-pi* wavelength in nm
CC1=C(C(C)=NN1)/N=N/C2=CC=C(Cl)C=C2,0.0016699999999999998,0,90.0,94.0,336.0,0.0,430.0,0.0,295.0,0.0,439.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C(C)=NN1)/N=N/C2=C(Br)C=CC=C2,0.00429,0,88.0,72.0,340.0,0.0,424.0,0.0,289.0,0.0,431.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C(C)=NN1)/N=N/C2=CC(Br)=CC=C2,0.0587,0,86.0,73.0,335.0,0.0,416.0,0.0,296.0,0.0,437.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C(C)=NN1)/N=N/C2=CC=C(Br)C=C2,0.00179,0,92.0,72.0,337.0,0.0,416.0,0.0,293.0,0.0,440.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C(C)=NN1)/N=N/C2=CC(O)=CC=C2,0.00288,0,86.0,69.0,330.0,0.0,412.0,0.0,292.0,0.0,437.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C(C)=NN1)/N=N/C2=C(C(F)(F)F)C=CC=C2,0.328,0,41.0,87.0,335.0,0.0,428.0,0.0,327.0,0.0,437.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C(C)=NN1)/N=N/C2=CC(C(F)(F)F)=CC=C2,0.00265,0,83.0,86.0,332.0,0.0,419.0,0.0,294.0,0.0,436.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C(C)=NN1)/N=N/C2=CC=C(C(F)(F)F)C=C2,0.0296,0,79.0,80.0,334.0,0.0,392.0,0.0,297.0,0.0,436.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C(C)=NN1)/N=N/C2=C(OC)C=CC=C2,0.00104,0,92.0,56.0,350.0,0.0,421.0,0.0,294.0,0.0,436.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C(C)=NN1)/N=N/C2=CC(OC)=CC=C2,0.00297,0,85.0,65.0,330.0,0.0,419.0,0.0,292.0,0.0,437.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C(C)=NN1)/N=N/C2=CC=C(OC)C=C2,0.0012,0,92.0,68.0,342.0,0.0,403.0,0.0,301.0,0.0,441.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C(C)=NN1)/N=N/C2=C(C)C=CC=C2,0.00692,0,92.0,80.0,336.0,0.0,423.0,0.0,292.0,0.0,435.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C(C)=NN1)/N=N/C2=CC(C)=CC=C2,0.00199,0,88.0,61.0,331.0,0.0,419.0,0.0,292.0,0.0,441.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C(C)=NN1)/N=N/C2=CC=C(C)C=C2,0.00145,0,90.0,73.0,335.0,0.0,416.0,0.0,295.0,0.0,437.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C(C)=NN1)/N=N/C2=CC(C(O)=O)=CC=C2,0.0304,0,81.0,65.0,332.0,0.0,419.0,0.0,295.0,0.0,435.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C(C)=NN1)/N=N/C2=CC=C(C(O)=O)C=C2,0.0441,0,83.0,81.0,342.0,0.0,410.0,0.0,300.0,0.0,441.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C(C)=NN1)/N=N/C2=CC(NC(C)=O)=CC=C2,0.0544,0,86.0,78.0,329.0,0.0,423.0,0.0,285.0,0.0,438.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(C(C)=NN1)/N=N/C2=CC=C(NC(C)=O)C=C2,0.00144,0,91.0,68.0,350.0,0.0,410.0,0.0,303.0,0.0,445.0,0.0,0.0,365,CFL white light,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=NOC(C)=C1/N=N/C2=CC=CC=C2,0.0,0,65.0,81.0,315.0,0.0,422.0,0.0,302.0,0.0,428.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0,0.0,291.0,485.0
CC1=NOC(C)=C1/N=N/C2=C(F)C=CC=C2,0.0,0,48.0,80.0,321.0,0.0,416.0,0.0,313.0,0.0,422.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=NOC(C)=C1/N=N/C2=CC(F)=CC=C2,0.0,0,0.0,0.0,315.0,0.0,421.0,0.0,309.0,0.0,428.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=NOC(C)=C1/N=N/C2=CC=C(F)C=C2,0.0,0,0.0,0.0,318.0,0.0,421.0,0.0,296.0,0.0,428.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=NOC(C)=C1/N=N/C2=C(Cl)C=CC=C2,0.0,0,0.0,0.0,321.0,0.0,424.0,0.0,304.0,0.0,426.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=NOC(C)=C1/N=N/C2=CC(Cl)=CC=C2,0.0,0,0.0,0.0,315.0,0.0,425.0,0.0,294.0,0.0,429.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=NOC(C)=C1/N=N/C2=CC=C(Cl)C=C2,0.0,0,0.0,0.0,323.0,0.0,423.0,0.0,294.0,0.0,429.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=NOC(C)=C1/N=N/C2=C(Br)C=CC=C2,0.0,0,0.0,0.0,321.0,0.0,428.0,0.0,310.0,0.0,428.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=NOC(C)=C1/N=N/C2=CC(Br)=CC=C2,0.0,0,0.0,0.0,315.0,0.0,423.0,0.0,306.0,0.0,429.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=NOC(C)=C1/N=N/C2=CC=C(Br)C=C2,0.0,0,0.0,0.0,325.0,0.0,421.0,0.0,295.0,0.0,432.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=NOC(C)=C1/N=N/C2=CC=C(I)C=C2,0.0,0,0.0,0.0,330.0,0.0,424.0,0.0,295.0,0.0,432.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=NOC(C)=C1/N=N/C2=CC(O)=CC=C2,0.0,0,0.0,0.0,313.0,0.0,418.0,0.0,288.0,0.0,432.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=NOC(C)=C1/N=N/C2=CC(C(F)(F)F)=CC=C2,0.0,0,0.0,0.0,314.0,0.0,418.0,0.0,308.0,0.0,426.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=NOC(C)=C1/N=N/C2=CC=C(C(F)(F)F)C=C2,0.0,0,0.0,0.0,312.0,0.0,425.0,0.0,309.0,0.0,429.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=NOC(C)=C1/N=N/C2=C(OC)C=CC=C2,0.0,0,0.0,0.0,311.0,0.0,414.0,0.0,285.0,0.0,426.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=NOC(C)=C1/N=N/C2=CC(OC)=CC=C2,0.0,0,0.0,0.0,312.0,0.0,423.0,0.0,289.0,0.0,430.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=NOC(C)=C1/N=N/C2=CC=C(OC)C=C2,0.0,0,0.0,0.0,337.0,0.0,403.0,0.0,309.0,0.0,434.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=NOC(C)=C1/N=N/C2=C([N+]([O-])=O)C=CC=C2,0.0,0,0.0,0.0,318.0,0.0,421.0,0.0,318.0,0.0,415.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=NOC(C)=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2,0.0,0,0.0,0.0,332.0,0.0,431.0,0.0,295.0,0.0,436.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=NOC(C)=C1/N=N/C2=CC=C(C)C=C2,0.0,0,0.0,0.0,323.0,0.0,420.0,0.0,308.0,0.0,430.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=NOC(C)=C1/N=N/C2=CC(NC(C)=O)=CC=C2,0.0,0,0.0,0.0,315.0,0.0,429.0,0.0,295.0,0.0,429.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=NOC(C)=C1/N=N/C2=CC=C(NC(C)=O)C=C2,0.0,0,0.0,0.0,342.0,0.0,416.0,0.0,315.0,0.0,437.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(/N=N/C2=C3C=CC=CC3=CC=C2)C(C)=NO1,0.0,0,0.0,0.0,362.0,0.0,439.0,0.0,342.0,0.0,440.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(/N=N/C2=CC(Cl)=CC=C2Cl)C(C)=NO1,0.0,0,0.0,0.0,320.0,0.0,430.0,0.0,298.0,0.0,427.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(/N=N/C2=C(Cl)C=CC=C2Cl)C(C)=NO1,0.0,0,0.0,0.0,297.0,0.0,429.0,0.0,292.0,0.0,421.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(/N=N/C2=CC=C(F)C=C2F)C(C)=NO1,0.0,0,0.0,0.0,324.0,0.0,420.0,0.0,323.0,0.0,420.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(/N=N/C2=CC(F)=CC=C2F)C(C)=NO1,0.0,0,0.0,0.0,328.0,0.0,417.0,0.0,287.0,0.0,422.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(/N=N/C2=C(F)C=CC=C2F)C(C)=NO1,0.0,0,0.0,0.0,309.0,0.0,419.0,0.0,305.0,0.0,419.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(/N=N/C2=CC(F)=CC(F)=C2)C(C)=NO1,0.0,0,0.0,0.0,315.0,0.0,417.0,0.0,297.0,0.0,429.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(/N=N/C2=CC=CC(N)=C2)C(C)=NO1,0.0,0,0.0,0.0,315.0,0.0,373.0,0.0,290.0,0.0,428.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(/N=N/C2=CC=CC=C2C#N)C(C)=NO1,0.0,0,0.0,0.0,325.0,0.0,431.0,0.0,304.0,0.0,434.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=C(/N=N/C2=CC=CN=C2)C(C)=NO1,0.0,0,0.0,0.0,316.0,0.0,421.0,0.0,311.0,0.0,429.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1=CC=C(/N=N/C2=CC=CS2)C=C1,0.0,0,0.0,0.0,365.0,0.0,450.0,0.0,285.0,0.0,450.0,0.0,0.0,0,0,MeCN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1(/N=N/C2=CC=CC=C2)=CC=CC=C1,0.0,0,0.0,0.0,319.0,0.0,440.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,EtOH,344.0,477.0,0.0,304.0,465.0,0.0,0.0,0.0,324.0,438.0,275.0,461.0
BrC1=CC=CC=C1/N=N/C2=CC=CC=C2,0.0,0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,EtOH,357.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,0.0,0.0,0.0
FC(F)(F)C1=CC=CC=C1/N=N/C2=CC=CC=C2,0.0,0,0.0,0.0,317.0,0.0,452.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Alk,342.0,497.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,463.0,0.0,0.0
CC1=CC=CC=C1/N=N/C2=CC=CC=C2,0.0,0,0.0,0.0,323.0,0.0,455.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Alk,349.0,495.0,0.0,0.0,0.0,0.0,0.0,0.0,337.0,467.0,0.0,0.0
NC1=CC=CC=C1/N=N/C2=CC=CC=C2,0.0,0,0.0,0.0,421.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,EtOH,419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,388.0,0.0,0.0,0.0
BrC1=CC(/N=N/C2=CC=CC=C2)=CC=C1,0.0,0,0.0,0.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,EtOH,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.0,0.0,0.0,0.0
CC1=CC(/N=N/C2=CC=CC=C2)=CC=C1,0.0,0,0.0,0.0,322.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Wat,347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,326.0,0.0,0.0,0.0
NC1=CC(/N=N/C2=CC=CC=C2)=CC=C1,0.0,0,0.0,0.0,417.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,EtOH,429.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,0.0,0.0,0.0
O=[N+]([O-])C1=CC(/N=N/C2=CC=CC=C2)=CC=C1,0.0,0,0.0,0.0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Wat,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,0.0,0.0,0.0
BrC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,0.0,0,0.0,0.0,329.0,0.0,448.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,EtOH,355.0,478.0,0.0,310.0,463.0,0.0,0.0,0.0,329.0,440.0,283.0,446.0
FC(F)(F)C1=CC=C(/N=N/C2=CC=CC=C2)C=C1,0.0,0,0.0,0.0,315.0,0.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Alk,339.0,489.0,0.0,0.0,0.0,0.0,0.0,0.0,327.0,455.0,0.0,0.0
ClC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,0.0,0,0.0,0.0,324.0,0.0,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,CH,348.0,479.0,0.0,0.0,0.0,0.0,0.0,0.0,334.0,454.0,0.0,0.0
N#CC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,0.0,0,0.0,0.0,321.0,0.0,455.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,ACN,352.0,499.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,464.0,0.0,0.0
CC(C1=CC=C(/N=N/C2=CC=CC=C2)C=C1)=O,0.0,0,0.0,0.0,326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,EtOH,360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335.0,0.0,0.0,0.0
O=C(OC)C1=CC=C(/N=N/C2=CC=CC=C2)C=C1,0.0,0,0.0,0.0,328.0,0.0,467.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,EtOH,355.0,496.0,0.0,0.0,0.0,0.0,0.0,0.0,331.0,450.0,0.0,0.0
FC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,0.0,0,0.0,0.0,322.0,0.0,437.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,EtOH,367.0,471.0,0.0,304.0,466.0,0.0,0.0,0.0,326.0,435.0,281.0,433.0
OC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,0.0,0,0.0,0.0,339.0,0.0,434.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,CH,358.0,468.0,0.0,0.0,0.0,0.0,0.0,0.0,346.0,442.0,0.0,0.0
O=C1C=CC(N1C2=CC=C(/N=N/C3=CC=CC=C3)C=C2)=O,0.0,0,0.0,0.0,329.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,MeOH,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,0.0,0.0,0.0
CC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,0.0,0,0.0,0.0,330.0,0.0,445.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,EtOH,353.0,472.0,0.0,310.0,469.0,0.0,0.0,0.0,334.0,434.0,287.0,446.0
CCN(CC)C1=CC=C(/N=N/C2=CC=CC=C2)C=C1,0.0,0,0.0,0.0,416.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,EtOH,431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,402.0,0.0,0.0,0.0
NC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,0.0,0,0.0,0.0,364.0,0.0,430.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,CH,383.0,465.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,437.0,0.0,0.0
CC(NC1=CC=C(/N=N/C2=CC=CC=C2)C=C1)=O,0.0,0,0.0,0.0,346.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,CH,371.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,353.0,0.0,0.0,0.0
CNC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,0.0,0,0.0,0.0,380.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,CH,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.0,0.0,0.0,0.0
CN(C)C1=CC=C(/N=N/C2=CC=CC=C2)C=C1,0.0,0,0.0,0.0,408.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,MeOH,427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.0,0.0,0.0,0.0
O=[N+]([O-])C1=CC=C(/N=N/C2=CC=CC=C2)C=C1,0.0,0,0.0,0.0,333.0,0.0,460.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,EtOH,378.0,517.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,459.0,0.0,0.0
C1(NC2=CC=CC=C2)=CC=C(/N=N/C3=CC=CC=C3)C=C1,0.0,0,0.0,0.0,411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,MeOH,439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397.0,0.0,0.0,0.0
FC(F)(F)C1=C(/N=N/C2=C(C(F)(F)F)C=CC=C2)C=CC=C1,0.0,0,0.0,0.0,317.0,0.0,463.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Alk,343.0,513.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,477.0,0.0,0.0
ClC1=C(/N=N/C2=C(Cl)C=CC=C2)C=CC=C1,0.0,0,0.0,0.0,328.0,0.0,467.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,CH,362.0,515.0,0.0,0.0,0.0,0.0,0.0,0.0,344.0,485.0,0.0,0.0
CC1=CC=CC=C1/N=N/C2=CC=CC=C2C,0.0,0,0.0,0.0,331.0,0.0,442.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,EtOH,365.0,512.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,478.0,0.0,0.0
CC(C=CC=C1C)=C1/N=N/C2=CC=CC=C2,0.0,0,0.0,0.0,316.0,0.0,461.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Alk,332.0,496.0,0.0,0.0,0.0,0.0,0.0,0.0,318.0,470.0,0.0,0.0
BrC1=CC=CC(/N=N/C2=CC=CC(Br)=C2)=C1,0.0,0,0.0,0.0,320.0,0.0,435.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,EtOH,349.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,440.0,0.0,0.0
ClC1=CC=CC(/N=N/C2=CC=CC(Cl)=C2)=C1,0.0,0,0.0,0.0,320.0,0.0,435.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,EtOH,346.0,479.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,440.0,0.0,0.0
FC1=CC=CC(/N=N/C2=CC=CC(F)=C2)=C1,0.0,0,0.0,0.0,320.0,0.0,435.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,EtOH,345.0,478.0,0.0,0.0,0.0,0.0,0.0,0.0,322.0,439.0,0.0,0.0
CC1=CC=CC(/N=N/C2=CC=CC(C)=C2)=C1,0.0,0,0.0,0.0,331.0,0.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,Chl,345.0,480.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,444.0,0.0,0.0
